code,tên bệnh VI,tên bệnh EN,synonym
A00,Bệnh tả,Cholera,benh ta | ta | tả
A00.0,"Bệnh tả do Vibrio cholerae 01, typ sinh học cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","benh ta | benh ta do vibrio cholerae 01, typ sinh hoc cholerae | bệnh tả | ta | ta do vibrio cholerae 01, typ sinh hoc cholerae | tả | tả do vibrio cholerae 01, typ sinh học cholerae"
A00.1,"Bệnh tả do Vibrio cholerae 01, typ sinh học eltor","Cholera due to Vibrio cholerae 01, biovar eltor","benh ta | benh ta do vibrio cholerae 01, typ sinh hoc eltor | bệnh tả | ta | ta do vibrio cholerae 01, typ sinh hoc eltor | tả | tả do vibrio cholerae 01, typ sinh học eltor"
A00.9,"Bệnh tả, không đặc hiệu","Cholera, unspecified","benh ta | benh ta, khong dac hieu | bệnh tả | ta | ta, khong dac hieu | tả | tả, không đặc hiệu"
A01,Bệnh thương hàn và phó thương hàn,Typhoid and paratyphoid fevers,benh thuong han va pho thuong han | thuong han va pho thuong han | thương hàn và phó thương hàn
A01.0,Thương hàn,Typhoid fever,benh thuong han va pho thuong han | bệnh thương hàn và phó thương hàn | thuong han | thuong han va pho thuong han | thương hàn và phó thương hàn
A01.1,Bệnh phó thương hàn A,Paratyphoid fever A,benh pho thuong han a | benh thuong han va pho thuong han | bệnh thương hàn và phó thương hàn | pho thuong han a | phó thương hàn a | thuong han va pho thuong han | thương hàn và phó thương hàn
A01.2,Bệnh phó thương hàn B,Paratyphoid fever B,benh pho thuong han b | benh thuong han va pho thuong han | bệnh thương hàn và phó thương hàn | pho thuong han b | phó thương hàn b | thuong han va pho thuong han | thương hàn và phó thương hàn
A01.3,Bệnh phó thương hàn C,Paratyphoid fever C,benh pho thuong han c | benh thuong han va pho thuong han | bệnh thương hàn và phó thương hàn | pho thuong han c | phó thương hàn c | thuong han va pho thuong han | thương hàn và phó thương hàn
A01.4,"Bệnh phó thương hàn, không xác định","Paratyphoid fever, unspecified","benh pho thuong han, khong xac dinh | benh thuong han va pho thuong han | bệnh thương hàn và phó thương hàn | pho thuong han, khong xac dinh | phó thương hàn, không xác định | thuong han va pho thuong han | thương hàn và phó thương hàn"
A02,Nhiễm salmonella khác,Other salmonella infections,nhiem salmonella khac
A02.0,Viêm ruột do Salmonella,Salmonella enteritis,nhiem salmonella khac | nhiễm salmonella khác | viem ruot do salmonella
A02.1,Nhiễm trùng huyết do Salmonella,Salmonella sepsis,nhiem salmonella khac | nhiem trung huyet do salmonella | nhiễm salmonella khác
A02.2†,Nhiễm trùng Salmonella khu trú,Localized salmonella infections,nhiem salmonella khac | nhiem trung salmonella khu tru | nhiễm salmonella khác
A02.8,Nhiễm trùng salmonella xác định khác,Other specified salmonella infections,nhiem salmonella khac | nhiem trung salmonella xac dinh khac | nhiễm salmonella khác
A02.9,"Nhiễm trùng salmonella, không xác định khác","Salmonella infection, unspecified","nhiem salmonella khac | nhiem trung salmonella, khong xac dinh khac | nhiễm salmonella khác"
A03,Bệnh lỵ trực khuẩn,Shigellosis,benh ly truc khuan | ly truc khuan | lỵ trực khuẩn
A03.0,Bệnh lỵ trực khuẩn do Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,benh ly truc khuan | benh ly truc khuan do shigella dysenteriae | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan do shigella dysenteriae | lỵ trực khuẩn | lỵ trực khuẩn do shigella dysenteriae
A03.1,Bệnh lỵ trực khuẩn do Shigella flexneri,Shigellosis due to Shigella flexneri,benh ly truc khuan | benh ly truc khuan do shigella flexneri | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan do shigella flexneri | lỵ trực khuẩn | lỵ trực khuẩn do shigella flexneri
A03.2,Bệnh lỵ trực khuẩn do Shigella boydii,Shigellosis due to Shigella boydii,benh ly truc khuan | benh ly truc khuan do shigella boydii | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan do shigella boydii | lỵ trực khuẩn | lỵ trực khuẩn do shigella boydii
A03.3,Bệnh lỵ trực khuẩn do Shigella sonnei,Shigellosis due to Shigella sonnei,benh ly truc khuan | benh ly truc khuan do shigella sonnei | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan do shigella sonnei | lỵ trực khuẩn | lỵ trực khuẩn do shigella sonnei
A03.8,Bệnh lỵ trực khuẩn do Shigella khác,Other shigellosis,benh ly truc khuan | benh ly truc khuan do shigella khac | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan do shigella khac | lỵ trực khuẩn | lỵ trực khuẩn do shigella khác
A03.9,"Bệnh lỵ trực khuẩn, không đặc hiệu","Shigellosis, unspecified","benh ly truc khuan | benh ly truc khuan, khong dac hieu | bệnh lỵ trực khuẩn | ly truc khuan | ly truc khuan, khong dac hieu | lỵ trực khuẩn | lỵ trực khuẩn, không đặc hiệu"
A04,Nhiễm trùng đường ruột do vi khuẩn khác,Other bacterial intestinal infections,nhiem trung duong ruot do vi khuan khac
A04.0,Nhiễm Escherichia coli gây bệnh đường ruột,Enteropathogenic Escherichia coli infection,nhiem escherichia coli gay benh duong ruot | nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.1,Nhiễm Escherichia coli gây độc tố ruột (ETEC),Enterotoxigenic Escherichia coli infection,nhiem escherichia coli gay doc to ruot (etec) | nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.2,Nhiễm Escherichia coli xâm nhập (EIEC),Enteroinvasive Escherichia coli infection,nhiem escherichia coli xam nhap (eiec) | nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.3,Nhiễm Escherichia coli gây xuất huyết đường ruột (EHEC),Enterohaemorrhagic Escherichia coli infection,nhiem escherichia coli gay xuat huyet duong ruot (ehec) | nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.4,Nhiễm Escherichia coli đường ruột khác,Other intestinal Escherichia coli infections,nhiem escherichia coli duong ruot khac | nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.5,Viêm ruột do Campylobacter,Campylobacter enteritis,nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác | viem ruot do campylobacter
A04.6,Viêm ruột do Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác | viem ruot do yersinia enterocolitica
A04.7,Viêm ruột do Clostridium difficile,Enterocolitis due to Clostridium difficile,nhiem trung duong ruot do vi khuan khac | nhiễm trùng đường ruột do vi khuẩn khác | viem ruot do clostridium difficile
A04.8,Nhiễm trùng đường ruột do vi khuẩn xác định khác,Other specified bacterial intestinal infections,nhiem trung duong ruot do vi khuan khac | nhiem trung duong ruot do vi khuan xac dinh khac | nhiễm trùng đường ruột do vi khuẩn khác
A04.9,"Nhiễm trùng đường ruột do vi khuẩn, không xác định","Bacterial intestinal infection, unspecified","nhiem trung duong ruot do vi khuan khac | nhiem trung duong ruot do vi khuan, khong xac dinh | nhiễm trùng đường ruột do vi khuẩn khác"
A05,"Nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (NEC)","Other bacterial foodborne intoxications, not elsewhere classified","nhiem doc thuc an do vi trung khac, chua phan loai noi khac (nec)"
