rxcui,name,tty,matched_from_text,lookup_method,synonyms
1191,aspirin,IN,aspirin,exact,Alka-Seltzer|Anacin|Anacin Advanced Headache Formula|Anacin Aspirin Regimen|Arthriten Inflammatory Pain|Ascomp|Aspergum|Aspi-Cor|BC Arthritis|BC Original Formula|Backaid IPF|Bayer Aspirin|Bromo Seltzer Antacid Pain Reliever|Bufferin|Durlaza|Ecotrin|Equagesic|Exaprin|Exaprin Plus|Excedrin|Excedrin PM Triple Action|Miniprin|Norgesic|Norwich Aspirin|Orphengesic|Pamprin Max Formula|Saleto|St. Joseph Aspirin|Stanback Headache Powder Reformulated Jan 2011|Vanquish|Vazalore|Yosprala|acetylsalicylate sodium|aspirin
6918,metoprolol,IN,metoprolol,exact,Kapspargo|Lopressor|Lopressor HCT|Toprol|metoprolol|metoprolol fumarate|metoprolol succinate|metoprolol tartrate
202991,Lasix,BN,lasix,exact,Lasix|furosemide|lasix
1808,bumetanide,IN,bumetanide,exact,Bumex|Enbumyst|bumetanide
82122,levofloxacin,IN,levofloxacin,exact,Levaquin|levofloxacin|levofloxacin anhydrous
6902,methylprednisolone,IN,methylprednisolone,exact,Depo-Medrol|HybriSil|Medrol|Solu-Medrol|methylprednisolone|methylprednisolone aceponate|methylprednisolone acetate|methylprednisolone sodium phosphate|methylprednisolone sodium succinate
8640,prednisone,IN,prednisone,exact,Deltasone|Rayos|prednisone
161,acetaminophen,IN,acetaminophen,exact,Acephen|Acetadryl|Allzital|Anabar|Anacin AF|Anacin Advanced Headache Formula|Apadaz|Arthriten Inflammatory Pain|Backaid|Backaid IPF|Backprin|Bactimicina|Bupap|By Ache|Capacet|Cetafen|Combogesic|Comtrex Sore Throat Relief|Contragesic|CounterAct Pain|Dologesic|Ed Flex|Endocet|Esgic|Exaprin|Exaprin Plus|Excedrin|Excedrin Mild Headache|Excedrin PM|Excedrin PM Triple Action|Excedrin Quick Tab|Excedrin Tension Headache|Feverall|Fioricet|Fioricet with Codeine|Frenadol|Hycet|Legatrin PM|Little Fevers|Mapap|Marten-Tab|Nalocet|Ninjacof A|Norco|Nortemp|Pamprin Cramp Formula|Pamprin Max Formula|Pamprin Multi-Symptom|Panadol|Panadol Extra|Panadol PM|Percocet|Percogesic Reformulated Jan 2011|Pharbetol|Premsyn PMS|Primlev|Prolate|Redutemp|Relagesic|Repan|Ringl|Saleto|Sed-Max|Tactinal|Tempra Quicklets|Tencon|Trezix|Tycolene|Tylenol|Tylenol Gelcap Extra Strength|Tylenol PM|Tylenol with Codeine|Ultracet|Unisom with Pain Relief|Vanatol|Vanquish|Verdrocet|Vtol|Zebutal|acetaminophen
83367,atorvastatin,IN,atorvastatin,exact,Atorvaliq|Caduet|Lipitor|atorvastatin|atorvastatin calcium|atorvastatin calcium anhydrous|atorvastatin calcium propylene glycol solvate|atorvastatin calcium trihydrate
29046,lisinopril,IN,lisinopril,exact,Prinivil|Qbrelis|Zestoretic|Zestril|lisinopril|lisinopril anhydrous
356778,Ranexa,BN,ranexa,exact,Ranexa|ranexa|ranolazine
4603,furosemide,IN,furosemide,exact,Disal|Furoscix|Lasix|Salix - substance|furosemide
11124,vancomycin,IN,vancomycin,exact,vancomycin
202433,Tylenol,BN,tylenol,exact,Tylenol|acetaminophen|tylenol
4603,furosemide,IN,furosemide,exact,Disal|Furoscix|Lasix|Salix - substance|furosemide
1307106,succinate,IN,succinate,approximate,sodium succinate anhydrous|succinate
224913,Dilaudid,BN,dilaudid,exact,Dilaudid|dilaudid|hydromorphone|hydromorphone hydrochloride
202421,Coumadin,BN,coumadin,exact,Coumadin|coumadin|warfarin|warfarin sodium
